Глубина манометра,Dшт,Руст,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит кон нестабильный,Дебит воды.1,Нэф,Рпл. Тек (Карноухов),Pсб.1,Удельная плотность газа ,G_total,КГФ
69,,12.7,200.0,102.14,102.23,66.0,,,48.37,479.1,416.0,0.7,63.5,,91.78,0.67,,131.0
98,3668.5,14.29,206.0,97.27,95.52,66.0,46.9,104.64,46.72,608.78,161.1,3.3,72.54,49.7,87.74,0.66,,132.0
68,3478.5,11.11,248.14,94.36,94.18,60.0,38.5,106.48,40.52,448.2,122.7,5.6,63.52,,86.75,0.67,,138.0
97,3668.5,12.7,223.89,94.89,95.52,64.0,42.7,104.74,42.91,514.1,142.1,2.7,72.54,49.7,87.64,0.66,,139.0
168,3289.8,9.53,199.0,95.95,94.64,56.0,,103.9,36.16,264.3,80.0,1.1,48.4,,92.77,0.67,,139.0
93,3670.0,12.7,229.89,102.4,102.29,65.1,44.8,105.04,44.74,503.75,195.9,6.7,63.3,50.2,94.55,0.67,,140.0
96,3668.5,11.11,239.0,95.51,95.88,61.0,38.6,104.83,39.29,432.74,122.8,2.0,72.54,49.7,86.95,0.66,,141.0
19,3579.0,14.29,166.0,107.38,107.54,63.0,49.2,103.4,49.75,494.59,142.2,3.6,62.57,,89.12,0.66,,141.0
167,3288.6,11.11,217.2,93.1,93.3,60.0,,104.6,41.3,387.68,123.0,1.6,48.37,,89.61,0.67,,145.0
165,3284.0,14.29,198.0,98.5,98.4,66.9,49.8,104.63,50.5,568.5,174.3,6.5,44.5,41.6,92.77,0.66,,147.0
48,,9.53,215.0,100.37,100.26,58.0,,,37.54,285.0,91.0,0.5,30.0,,91.69,0.67,,152.0
67,3478.5,9.53,260.0,93.85,94.36,57.0,34.3,106.51,35.29,347.86,104.0,5.6,63.52,,86.75,0.67,,152.0
47,3588.5,12.7,206.0,97.2,97.6,67.0,,103.76,48.2,490.36,149.6,4.6,30.0,,91.29,0.68,,153.0
164,3284.0,12.7,215.0,98.6,97.2,65.0,45.8,104.78,46.3,479.09,156.8,4.8,44.5,41.6,93.17,0.66,,153.0
95,3668.5,9.53,248.0,94.02,94.2,59.0,32.4,104.85,33.51,338.63,105.2,1.4,72.54,49.7,87.64,0.66,,154.0
147,3437.0,14.29,138.16,101.4,100.2,57.0,49.3,106.43,49.7,360.23,116.8,0.8,44.2,48.6,99.38,0.68,,154.0
46,3588.5,14.29,193.0,98.2,98.3,68.0,51.0,103.4,51.2,554.81,170.4,5.8,30.0,,91.98,0.68,,156.0
146,3437.0,12.7,153.35,101.3,101.6,56.0,45.6,106.4,46.2,344.29,113.2,1.0,44.2,48.6,98.99,0.68,,157.0
18,3579.0,12.7,194.24,103.23,103.92,62.0,43.7,104.5,44.14,435.04,137.7,3.2,62.57,,88.43,0.66,,157.0
45,3588.5,12.7,214.2,96.9,97.0,68.0,47.9,104.0,47.8,489.67,159.2,4.9,30.0,,90.8,0.68,,160.0
145,3437.0,11.11,175.23,101.2,101.2,54.0,40.9,106.5,41.0,305.59,115.5,1.9,44.2,48.6,98.79,0.68,,161.0
89,3667.0,14.29,223.11,102.23,47.85,66.0,47.8,105.44,48.17,653.03,206.0,6.6,63.3,50.9,94.74,0.67,,162.0
14,3667.0,12.7,228.0,108.1,108.14,42.0,,105.1,49.84,532.28,175.5,1.4,57.2,50.1,102.44,0.66,,162.0
141,3424.5,14.3,149.96,104.43,104.62,50.6,,106.7,50.58,346.7,121.4,2.6,44.2,50.7,102.64,0.65,,164.0
163,3284.0,11.11,229.0,98.0,98.9,63.3,41.4,104.85,42.5,409.23,143.9,3.5,44.5,41.6,89.81,0.66,,165.0
88,3667.0,12.7,239.64,100.1,45.06,64.0,43.7,105.51,44.07,537.87,176.6,5.3,63.3,50.9,93.96,0.67,,165.0
44,3588.5,11.11,232.0,94.5,93.1,66.0,42.9,104.5,43.3,415.32,138.7,3.9,30.0,,89.12,0.68,,169.0
13,3667.0,11.11,240.0,105.67,105.59,65.0,,105.2,44.9,429.72,146.0,1.0,57.2,50.1,100.67,0.66,,169.0
87,3667.0,11.11,249.27,98.95,40.74,60.0,39.2,105.56,39.67,451.48,154.0,3.9,63.3,50.9,93.56,0.67,,171.0
20,3582.5,9.53,206.0,105.51,105.03,56.0,37.4,104.6,37.79,273.4,94.0,0.7,62.6,,90.9,0.67,,172.0
17,3579.0,11.11,213.43,103.19,103.0,61.0,41.2,105.2,41.11,395.0,139.7,2.7,62.57,,92.47,0.66,,172.0
86,3667.0,9.53,256.0,96.6,97.32,55.0,33.4,105.57,33.69,353.22,123.1,3.5,63.3,50.9,91.59,0.67,,174.0
140,3424.5,12.7,163.13,104.28,104.34,47.8,,106.4,48.02,330.5,126.4,2.6,44.2,50.7,102.54,0.65,,177.0
12,3667.0,9.53,250.0,103.19,103.32,61.0,,105.2,39.06,326.22,118.0,0.0,57.2,50.1,98.79,0.66,,178.0
149,3440.0,7.94,163.6,92.59,92.64,42.0,24.8,102.51,25.81,145.72,60.1,0.2,44.2,,89.22,0.57,,178.0
84,3640.5,12.7,227.86,110.17,110.19,64.0,,104.9,47.99,612.21,222.6,0.7,63.3,51.2,102.44,0.68,,180.0
148,3440.0,7.94,163.62,92.05,90.95,44.0,25.6,102.55,25.94,145.68,60.9,0.2,44.2,,88.82,0.57,,180.0
43,3588.5,9.53,250.3,98.9,98.8,62.0,38.5,104.88,39.0,326.31,119.1,2.7,30.0,,94.25,0.68,,180.0
150,3440.0,7.94,163.0,92.63,94.15,43.0,26.6,102.07,26.24,144.77,59.8,0.2,44.2,,89.51,0.57,,180.0
162,3284.0,9.53,240.0,91.2,91.4,59.1,34.9,104.84,35.7,312.61,119.2,2.0,44.5,41.6,87.74,0.66,,182.0
166,3288.6,7.94,231.23,92.6,92.7,51.0,,104.4,28.1,215.8,84.7,0.4,48.37,,88.72,0.67,,182.0
160,3276.0,14.3,220.0,99.8,99.3,70.0,51.8,105.16,52.1,653.25,264.3,2.4,44.5,45.6,97.21,0.67,,186.0
83,3640.5,11.11,235.66,107.79,108.5,62.0,,105.0,42.72,498.6,185.2,1.1,63.3,51.2,102.34,0.68,,187.0
11,3667.0,7.94,252.0,102.93,101.57,56.0,,105.3,33.0,234.86,90.4,0.0,57.2,50.1,99.58,0.66,,188.0
154,3277.8,12.7,254.33,104.1,103.8,50.3,,106.4,50.5,569.07,196.5,0.6,44.5,52.7,101.36,0.67,,191.0
139,3424.5,11.11,182.39,103.06,103.45,42.3,,106.47,42.63,295.81,123.9,2.3,44.2,50.7,101.26,0.65,,191.0
155,3277.8,14.3,239.13,105.8,104.0,53.5,,106.7,54.0,648.1,232.4,1.7,44.5,52.7,101.75,0.67,,192.0
